IndulasIdeje;MegalloDarab;TavolsagMax;TavolsagMin;UtasDarab;Seed;generalasokSzama;megalloNoveles
2022.04.30. 12:30:26;1001;40;10;40;;20;10


MohoUtvonalTervezo
MegallokDarab;LehetsegesDarab;MegallasokAtlag;FutasIdoAtlagMs
1;20;1;5,712499999999998E-05
11;20;2,3;8,915E-06
21;20;5,2;1,5034999999999998E-05
31;19;7;3,202105263157895E-05
41;20;10,35;8,48E-05
51;20;12,25;0,00011881500000000002
61;20;14,6;0,00012925500000000002
71;19;17,42105263157895;0,00015949473684210525
81;18;19,833333333333332;0,00022295555555555555
91;20;22,5;0,00034394999999999993
101;18;24,666666666666668;0,00029905000000000003
111;19;27,42105263157895;0,00037494736842105266
121;19;29,789473684210527;0,0005885263157894738
131;17;32,470588235294116;0,0006794352941176468
141;18;34,833333333333336;0,0006287666666666666
151;15;36,86666666666667;0,0008715266666666666
161;20;39,45;0,000855645
171;17;42,23529411764706;0,0010316235294117648
181;15;43,86666666666667;0,0010864733333333333
191;14;46,857142857142854;0,0012202857142857141
201;17;49,35294117647059;0,0012454764705882354
211;12;51,916666666666664;0,0013299333333333335
221;14;54,5;0,0014857285714285715
231;14;56,214285714285715;0,0015899285714285716
241;16;59,375;0,00157336875
251;13;61,30769230769231;0,0018805076923076925
261;16;64,25;0,00227823125
271;18;66,88888888888889;0,002171572222222223
281;16;69,3125;0,0021750875
291;15;71,73333333333333;0,00263404
301;14;74,07142857142857;0,0024188
311;15;77;0,0028496066666666665
321;17;79,3529411764706;0,0029787588235294115
331;16;82,375;0,00321325625
341;12;84;0,0035976083333333336
351;14;87,35714285714286;0,0030667714285714286
361;11;89,63636363636364;0,003269981818181818
371;16;92,75;0,0034235624999999995
381;13;95,76923076923077;0,0031351230769230774
391;11;97,63636363636364;0,003436581818181818
401;17;99,47058823529412;0,004178835294117647
411;11;101,9090909090909;0,004186227272727273
421;14;103,35714285714286;0,0043529785714285715
431;14;106,14285714285714;0,004417564285714286
441;13;108,76923076923077;0,004186484615384615
451;9;111,66666666666667;0,0050769111111111116
461;12;112,08333333333333;0,005348016666666666
471;14;116,42857142857143;0,004803399999999999
481;12;117,75;0,0050863083333333335
491;9;122,55555555555556;0,005446277777777778
501;14;123,78571428571429;0,00576355
511;11;128,63636363636363;0,006190545454545454
521;10;127,5;0,00593537
531;10;133,5;0,006142679999999999
541;11;133,8181818181818;0,006285954545454545
551;14;136,21428571428572;0,007056492857142856
561;12;138,91666666666666;0,007479791666666667
571;11;141,1818181818182;0,006864045454545455
581;8;145,25;0,007109112500000001
591;11;147,27272727272728;0,007621154545454547
601;10;147,9;0,007654939999999999
611;14;150,78571428571428;0,008062335714285714
621;6;154,83333333333334;0,00871775
631;8;158;0,009020812500000001
641;12;158,41666666666666;0,008669141666666666
651;13;162,69230769230768;0,008934715384615386
661;9;163,88888888888889;0,01065168888888889
671;12;168,33333333333334;0,009911183333333335
681;11;168,45454545454547;0,009753363636363636
691;10;171,2;0,010117830000000001
701;10;174,8;0,01065648
711;11;178,8181818181818;0,011542727272727272
721;8;179,125;0,0111935625
731;14;179,57142857142858;0,011368014285714285
741;6;183,33333333333334;0,011976666666666668
751;6;186;0,013149533333333333
761;11;189;0,016137254545454546
771;5;190,8;0,014207820000000001
781;8;192,875;0,0139269625
791;9;196,77777777777777;0,014698666666666665
801;10;197,8;0,01470968
811;7;201,42857142857142;0,014081314285714285
821;8;203,875;0,0151593875
831;7;209,57142857142858;0,015800985714285714
841;7;210,71428571428572;0,014962785714285717
851;8;213;0,0160142875
861;7;218,57142857142858;0,016438757142857145
871;8;218,625;0,0165697375
881;12;217,16666666666666;0,016326208333333335
891;3;223,33333333333334;0,0177892
901;6;221,33333333333334;0,01716141666666667
911;9;224,22222222222223;0,017189166666666665
921;7;231,28571428571428;0,017851885714285715
931;7;232,71428571428572;0,018463142857142862
941;8;236,625;0,018909525
951;8;235,125;0,0188428
961;4;239,25;0,0198099
971;8;242,375;0,0199073125
981;7;243,14285714285714;0,02226252857142857
991;4;247;0,020480575
1001;7;249,71428571428572;0,021225528571428568
